#,Version,fileName,methodName,nAuth,methodHistories,loc,fain,fanout,wmc,returns,loops,comparison,maxNested,math,smells,buggy
"1","4.0.0","AbstractZkLedgerManager.java","asyncGetLedgersInSingleNode","1","1","16","2","0","1","0","0","0","0","0","1","no"
"1","4.0.0","AbstractZkLedgerManager.java","doAsyncGetLedgersInSingleNode","1","1","29","1","0","1","0","0","0","0","0","1","no"
"1","4.0.0","FlatLedgerManager.java","processResult","1","1","8","0","0","2","0","0","1","1","0","7","yes"
"1","4.0.0","HierarchicalLedgerManager.java","processResult","1","1","9","0","5","2","1","0","1","1","1","55","yes"
"1","4.0.0","LedgerLayout.java","readLayout","1","1","17","0","1","3","2","0","0","2","1","4","no"
"1","4.0.0","LedgerLayout.java","store","1","1","4","0","1","1","0","0","0","0","1","3","no"
"1","4.0.0","LedgerLayout.java","LedgerLayout","0","0","4","1","0","1","0","0","0","0","0","2","no"
"1","4.0.0","LedgerLayout.java","parseLayout","1","1","26","1","1","6","1","0","2","2","4","15","no"
"1","4.0.0","LedgerLayout.java","toString","1","1","5","0","0","1","1","0","0","0","0","5","no"
"1","4.0.0","LedgerLayout.java","serialize","1","1","8","1","0","2","1","0","0","1","1","2","no"
"1","4.0.0","LedgerLayout.java","equals","1","1","10","0","0","4","3","0","2","1","0","5","no"
"1","4.0.0","LedgerManager.java","getLedgerId","1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","4.0.0","LedgerManager.java","newLedgerPath","1","1","1","0","0","1","0","0","0","0","0","2","yes"
"1","4.0.0","LedgerManager.java","removeActiveLedger","1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","4.0.0","LedgerManager.java","asyncProcessLedgers","1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","4.0.0","LedgerManager.java","containsActiveLedger","1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","4.0.0","LedgerManager.java","close","1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","4.0.0","LedgerManager.java","getLedgerPath","1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","4.0.0","LedgerManager.java","addActiveLedger","1","1","1","0","0","1","0","0","0","0","0","1","no"
"1","4.0.0","LedgerManager.java","garbageCollectLedgers","1","1","1","0","0","1","0","0","0","0","0","2","no"
"1","4.0.0","LedgerManagerFactory.java","newLedgerManager","1","1","43","0","0","14","3","0","6","3","5","18","no"
"1","4.0.0","BookieClient.java","operationComplete","2","2","7","0","1","2","1","0","1","1","0","6","no"
"1","4.0.0","BookieProtocol.java","getFlags","0","0","3","0","0","1","1","0","0","0","0","1","no"
"1","4.0.0","BookieProtocol.java","PacketHeader","0","0","5","1","0","1","0","0","0","0","0","4","no"
"1","4.0.0","BookieProtocol.java","getVersion","0","0","3","0","0","1","1","0","0","0","0","1","no"
"1","4.0.0","BookieProtocol.java","toInt","0","0","8","0","0","2","2","0","1","1","2","2","no"
"1","4.0.0","BookieProtocol.java","getOpCode","0","0","3","0","0","1","1","0","0","0","0","1","no"
